brain_section_label,brain_section_barcode,brain_section_thickness,brain_section_plane_of_section,brain_section_ordinal,brain_section_depth,section_set_label,section_set_ordinal,section_set_base_ordinal,brain_block_label,brain_block_number,brain_slab_label,brain_slab_ordinal,brain_slab_thickness,hemisphere,brain_division_label,brain_division_ordinal,donor_label,slab_plane_ordinal,slab_plane_label,slab_plane_order
CJ23.56.004.CX.42.01.06,1382042951,10,coronal (rostral to caudal),7,70,CJ23.56.004.CX.42.01,1,1,CJ23.56.004.CX.42,42,CJ23.56.004.CX.42,42,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,1,CJ23.56.004.CX.42.Plane.01,14201
CJ23.56.004.CX.42.02.06,1382042748,10,coronal (rostral to caudal),27,270,CJ23.56.004.CX.42.02,2,21,CJ23.56.004.CX.42,42,CJ23.56.004.CX.42,42,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,2,CJ23.56.004.CX.42.Plane.02,14202
CJ23.56.004.CX.42.03.07,1382042618,10,coronal (rostral to caudal),48,480,CJ23.56.004.CX.42.03,3,41,CJ23.56.004.CX.42,42,CJ23.56.004.CX.42,42,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,3,CJ23.56.004.CX.42.Plane.03,14203
CJ23.56.004.CX.42.04.06,1382042399,10,coronal (rostral to caudal),67,670,CJ23.56.004.CX.42.04,4,61,CJ23.56.004.CX.42,42,CJ23.56.004.CX.42,42,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,4,CJ23.56.004.CX.42.Plane.04,14204
CJ23.56.004.CX.42.05.06,1382042114,10,coronal (rostral to caudal),87,870,CJ23.56.004.CX.42.05,5,81,CJ23.56.004.CX.42,42,CJ23.56.004.CX.42,42,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,5,CJ23.56.004.CX.42.Plane.05,14205
CJ23.56.004.CX.42.06.06,1382041784,10,coronal (rostral to caudal),107,1070,CJ23.56.004.CX.42.06,6,101,CJ23.56.004.CX.42,42,CJ23.56.004.CX.42,42,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,6,CJ23.56.004.CX.42.Plane.06,14206
CJ23.56.004.CX.42.07.06,1382041594,10,coronal (rostral to caudal),127,1270,CJ23.56.004.CX.42.07,7,121,CJ23.56.004.CX.42,42,CJ23.56.004.CX.42,42,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,7,CJ23.56.004.CX.42.Plane.07,14207
CJ23.56.004.CX.42.08.06,1382041428,10,coronal (rostral to caudal),147,1470,CJ23.56.004.CX.42.08,8,141,CJ23.56.004.CX.42,42,CJ23.56.004.CX.42,42,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,8,CJ23.56.004.CX.42.Plane.08,14208
CJ23.56.004.CX.42.09.07,1382040851,10,coronal (rostral to caudal),168,1680,CJ23.56.004.CX.42.09,9,161,CJ23.56.004.CX.42,42,CJ23.56.004.CX.42,42,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,9,CJ23.56.004.CX.42.Plane.09,14209
CJ23.56.004.CX.42.10.07,1382039944,10,coronal (rostral to caudal),188,1880,CJ23.56.004.CX.42.10,10,181,CJ23.56.004.CX.42,42,CJ23.56.004.CX.42,42,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,10,CJ23.56.004.CX.42.Plane.10,14210
CJ23.56.004.CX.42.13.07,1382037934,10,coronal (rostral to caudal),248,2480,CJ23.56.004.CX.42.13,13,241,CJ23.56.004.CX.42,42,CJ23.56.004.CX.42,42,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,13,CJ23.56.004.CX.42.Plane.13,14213
CJ23.56.004.CX.42.14.06,1382037649,10,coronal (rostral to caudal),267,2670,CJ23.56.004.CX.42.14,14,261,CJ23.56.004.CX.42,42,CJ23.56.004.CX.42,42,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,14,CJ23.56.004.CX.42.Plane.14,14214
CJ23.56.004.CX.42.15.06,1382036910,10,coronal (rostral to caudal),287,2870,CJ23.56.004.CX.42.15,15,281,CJ23.56.004.CX.42,42,CJ23.56.004.CX.42,42,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,15,CJ23.56.004.CX.42.Plane.15,14215
CJ23.56.004.CX.42.16.06,1382036586,10,coronal (rostral to caudal),307,3070,CJ23.56.004.CX.42.16,16,301,CJ23.56.004.CX.42,42,CJ23.56.004.CX.42,42,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,16,CJ23.56.004.CX.42.Plane.16,14216
CJ23.56.004.CX.42.17.06,1382036345,10,coronal (rostral to caudal),327,3270,CJ23.56.004.CX.42.17,17,321,CJ23.56.004.CX.42,42,CJ23.56.004.CX.42,42,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,17,CJ23.56.004.CX.42.Plane.17,14217
CJ23.56.004.CX.42.18.07,1382036092,10,coronal (rostral to caudal),348,3480,CJ23.56.004.CX.42.18,18,341,CJ23.56.004.CX.42,42,CJ23.56.004.CX.42,42,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,18,CJ23.56.004.CX.42.Plane.18,14218
CJ23.56.004.CX.42.19.06,1382035806,10,coronal (rostral to caudal),367,3670,CJ23.56.004.CX.42.19,19,361,CJ23.56.004.CX.42,42,CJ23.56.004.CX.42,42,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,19,CJ23.56.004.CX.42.Plane.19,14219
CJ23.56.004.CX.42.20.07,1382034446,10,coronal (rostral to caudal),388,3880,CJ23.56.004.CX.42.20,20,381,CJ23.56.004.CX.42,42,CJ23.56.004.CX.42,42,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,20,CJ23.56.004.CX.42.Plane.20,14220
CJ23.56.004.CX.42.22.06,1382033286,10,coronal (rostral to caudal),427,4270,CJ23.56.004.CX.42.22,22,421,CJ23.56.004.CX.42,42,CJ23.56.004.CX.42,42,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,22,CJ23.56.004.CX.42.Plane.22,14222
CJ23.56.004.CX.43.01.07,1386591529,10,coronal (rostral to caudal),8,80,CJ23.56.004.CX.43.01,1,1,CJ23.56.004.CX.43,43,CJ23.56.004.CX.43,43,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,1,CJ23.56.004.CX.43.Plane.01,14301
CJ23.56.004.CX.43.04.06,1386591926,10,coronal (rostral to caudal),67,670,CJ23.56.004.CX.43.04,4,61,CJ23.56.004.CX.43,43,CJ23.56.004.CX.43,43,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,4,CJ23.56.004.CX.43.Plane.04,14304
CJ23.56.004.CX.43.05.07,1386592095,10,coronal (rostral to caudal),88,880,CJ23.56.004.CX.43.05,5,81,CJ23.56.004.CX.43,43,CJ23.56.004.CX.43,43,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,5,CJ23.56.004.CX.43.Plane.05,14305
CJ23.56.004.CX.43.06.06,1386592139,10,coronal (rostral to caudal),107,1070,CJ23.56.004.CX.43.06,6,101,CJ23.56.004.CX.43,43,CJ23.56.004.CX.43,43,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,6,CJ23.56.004.CX.43.Plane.06,14306
CJ23.56.004.CX.43.08.07,1386592502,10,coronal (rostral to caudal),148,1480,CJ23.56.004.CX.43.08,8,141,CJ23.56.004.CX.43,43,CJ23.56.004.CX.43,43,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,8,CJ23.56.004.CX.43.Plane.08,14308
CJ23.56.004.CX.43.10.06,1386592917,10,coronal (rostral to caudal),187,1870,CJ23.56.004.CX.43.10,10,181,CJ23.56.004.CX.43,43,CJ23.56.004.CX.43,43,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,10,CJ23.56.004.CX.43.Plane.10,14310
CJ23.56.004.CX.43.11.06,1386593056,10,coronal (rostral to caudal),207,2070,CJ23.56.004.CX.43.11,11,201,CJ23.56.004.CX.43,43,CJ23.56.004.CX.43,43,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,11,CJ23.56.004.CX.43.Plane.11,14311
CJ23.56.004.CX.43.12.06,1386593326,10,coronal (rostral to caudal),227,2270,CJ23.56.004.CX.43.12,12,221,CJ23.56.004.CX.43,43,CJ23.56.004.CX.43,43,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,12,CJ23.56.004.CX.43.Plane.12,14312
CJ23.56.004.CX.43.13.07,1386593508,10,coronal (rostral to caudal),248,2480,CJ23.56.004.CX.43.13,13,241,CJ23.56.004.CX.43,43,CJ23.56.004.CX.43,43,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,13,CJ23.56.004.CX.43.Plane.13,14313
CJ23.56.004.CX.43.15.06,1386593676,10,coronal (rostral to caudal),287,2870,CJ23.56.004.CX.43.15,15,281,CJ23.56.004.CX.43,43,CJ23.56.004.CX.43,43,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,15,CJ23.56.004.CX.43.Plane.15,14315
CJ23.56.004.CX.43.17.06,1386593903,10,coronal (rostral to caudal),327,3270,CJ23.56.004.CX.43.17,17,321,CJ23.56.004.CX.43,43,CJ23.56.004.CX.43,43,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,17,CJ23.56.004.CX.43.Plane.17,14317
CJ23.56.004.CX.43.19.07,1386594266,10,coronal (rostral to caudal),368,3680,CJ23.56.004.CX.43.19,19,361,CJ23.56.004.CX.43,43,CJ23.56.004.CX.43,43,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,19,CJ23.56.004.CX.43.Plane.19,14319
CJ23.56.004.CX.43.20.06,1386594304,10,coronal (rostral to caudal),387,3870,CJ23.56.004.CX.43.20,20,381,CJ23.56.004.CX.43,43,CJ23.56.004.CX.43,43,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,20,CJ23.56.004.CX.43.Plane.20,14320
CJ23.56.004.CX.43.21.07,1386594431,10,coronal (rostral to caudal),408,4080,CJ23.56.004.CX.43.21,21,401,CJ23.56.004.CX.43,43,CJ23.56.004.CX.43,43,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,21,CJ23.56.004.CX.43.Plane.21,14321
CJ23.56.004.CX.44.01.06,1387987396,10,coronal (rostral to caudal),7,70,CJ23.56.004.CX.44.01,1,1,CJ23.56.004.CX.44,44,CJ23.56.004.CX.44,44,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,1,CJ23.56.004.CX.44.Plane.01,14401
CJ23.56.004.CX.44.03.07,1388172948,10,coronal (rostral to caudal),48,480,CJ23.56.004.CX.44.03,3,41,CJ23.56.004.CX.44,44,CJ23.56.004.CX.44,44,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,3,CJ23.56.004.CX.44.Plane.03,14403
CJ23.56.004.CX.44.04.07,1388173119,10,coronal (rostral to caudal),68,680,CJ23.56.004.CX.44.04,4,61,CJ23.56.004.CX.44,44,CJ23.56.004.CX.44,44,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,4,CJ23.56.004.CX.44.Plane.04,14404
CJ23.56.004.CX.44.05.06,1388173354,10,coronal (rostral to caudal),87,870,CJ23.56.004.CX.44.05,5,81,CJ23.56.004.CX.44,44,CJ23.56.004.CX.44,44,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,5,CJ23.56.004.CX.44.Plane.05,14405
CJ23.56.004.CX.44.06.06,1388173549,10,coronal (rostral to caudal),107,1070,CJ23.56.004.CX.44.06,6,101,CJ23.56.004.CX.44,44,CJ23.56.004.CX.44,44,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,6,CJ23.56.004.CX.44.Plane.06,14406
CJ23.56.004.CX.44.07.07,1388173977,10,coronal (rostral to caudal),128,1280,CJ23.56.004.CX.44.07,7,121,CJ23.56.004.CX.44,44,CJ23.56.004.CX.44,44,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,7,CJ23.56.004.CX.44.Plane.07,14407
CJ23.56.004.CX.44.08.07,1388174236,10,coronal (rostral to caudal),148,1480,CJ23.56.004.CX.44.08,8,141,CJ23.56.004.CX.44,44,CJ23.56.004.CX.44,44,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,8,CJ23.56.004.CX.44.Plane.08,14408
CJ23.56.004.CX.44.09.06,1388174372,10,coronal (rostral to caudal),167,1670,CJ23.56.004.CX.44.09,9,161,CJ23.56.004.CX.44,44,CJ23.56.004.CX.44,44,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,9,CJ23.56.004.CX.44.Plane.09,14409
CJ23.56.004.CX.44.10.06,1388174589,10,coronal (rostral to caudal),187,1870,CJ23.56.004.CX.44.10,10,181,CJ23.56.004.CX.44,44,CJ23.56.004.CX.44,44,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,10,CJ23.56.004.CX.44.Plane.10,14410
CJ23.56.004.CX.44.11.07,1388175041,10,coronal (rostral to caudal),208,2080,CJ23.56.004.CX.44.11,11,201,CJ23.56.004.CX.44,44,CJ23.56.004.CX.44,44,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,11,CJ23.56.004.CX.44.Plane.11,14411
CJ23.56.004.CX.44.12.06,1388175124,10,coronal (rostral to caudal),227,2270,CJ23.56.004.CX.44.12,12,221,CJ23.56.004.CX.44,44,CJ23.56.004.CX.44,44,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,12,CJ23.56.004.CX.44.Plane.12,14412
CJ23.56.004.CX.44.13.06,1388175280,10,coronal (rostral to caudal),247,2470,CJ23.56.004.CX.44.13,13,241,CJ23.56.004.CX.44,44,CJ23.56.004.CX.44,44,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,13,CJ23.56.004.CX.44.Plane.13,14413
CJ23.56.004.CX.44.14.07,1388175626,10,coronal (rostral to caudal),268,2680,CJ23.56.004.CX.44.14,14,261,CJ23.56.004.CX.44,44,CJ23.56.004.CX.44,44,5.0,right,CJ23.56.004.CX,1,CJ23.56.004,14,CJ23.56.004.CX.44.Plane.14,14414
